        Cancer Stage             Protein       AUC
659  Ovary    II            sPECAM-1 0.6799007
660  Ovary    II                TGFa 0.9445813
661  Ovary    II    Thrombospondin-2 0.5961538
662  Ovary    II              TIMP-1 0.6551724
663  Ovary    II              TIMP-2 0.5886700
664  Ovary   III                 AFP 0.6304518
665  Ovary   III      Angiopoietin-2 0.6859756
666  Ovary   III                 AXL 0.6550566
667  Ovary   III              CA-125 0.9802655
668  Ovary   III             CA 15-3 0.8435360
669  Ovary   III              CA19-9 0.7868257
670  Ovary   III                CD44 0.6024178
671  Ovary   III                 CEA 0.5861168
672  Ovary   III          CYFRA 21-1 0.7688784
673  Ovary   III                DKK1 0.5203202
674  Ovary   III            Endoglin 0.6546618
675  Ovary   III                FGF2 0.5908627
676  Ovary   III         Follistatin 0.7411090
677  Ovary   III          Galectin-3 0.7598672
678  Ovary   III               G-CSF 0.6486110
679  Ovary   III               GDF15 0.8217440
680  Ovary   III                 HE4 0.8739337
681  Ovary   III                 HGF 0.7379400
682  Ovary   III                IL-6 0.8795506
683  Ovary   III                IL-8 0.8404421
684  Ovary   III        Kallikrein-6 0.7732555
685  Ovary   III              Leptin 0.5555689
686  Ovary   III          Mesothelin 0.8683804
687  Ovary   III             Midkine 0.7383344
688  Ovary   III     Myeloperoxidase 0.7369188
689  Ovary   III                 NSE 0.5826625
690  Ovary   III                 OPG 0.6892647
691  Ovary   III                 OPN 0.8739938
692  Ovary   III                 PAR 0.6406827
693  Ovary   III           Prolactin 0.9097080
694  Ovary   III               sEGFR 0.6995552
695  Ovary   III                sFas 0.7836456
696  Ovary   III                SHBG 0.7360177
697  Ovary   III sHER2/sEGFR2/sErbB2 0.7284391
698  Ovary   III            sPECAM-1 0.7024148
699  Ovary   III                TGFa 0.8846269
700  Ovary   III    Thrombospondin-2 0.6683260
701  Ovary   III              TIMP-1 0.8616484
702  Ovary   III              TIMP-2 0.7394569
      Cancer Stage             Protein       AUC
703 Pancreas     I                 AFP 0.8811576
704 Pancreas     I      Angiopoietin-2 0.6145320
705 Pancreas     I                 AXL 0.5372208
706 Pancreas     I              CA-125 0.8525246
707 Pancreas     I             CA 15-3 0.9027094
708 Pancreas     I              CA19-9 0.9276478
709 Pancreas     I                CD44 0.7129342
710 Pancreas     I                 CEA 0.7336823
711 Pancreas     I          CYFRA 21-1 0.6163793
712 Pancreas     I                DKK1 0.7469212
713 Pancreas     I            Endoglin 0.7259852
714 Pancreas     I                FGF2 0.7526170
715 Pancreas     I         Follistatin 0.5361761
716 Pancreas     I          Galectin-3 0.7133621
717 Pancreas     I               G-CSF 0.5598635
718 Pancreas     I               GDF15 0.7723214
719 Pancreas     I                 HE4 0.6257697
720 Pancreas     I                 HGF 0.8168103
721 Pancreas     I                IL-6 0.8917796
722 Pancreas     I                IL-8 0.7396860
723 Pancreas     I        Kallikrein-6 0.7624069
724 Pancreas     I              Leptin 0.5671182
725 Pancreas     I          Mesothelin 0.7799318
726 Pancreas     I             Midkine 0.7906328
727 Pancreas     I     Myeloperoxidase 0.6320813
728 Pancreas     I                 NSE 0.4861453
729 Pancreas     I                 OPG 0.6793411
730 Pancreas     I                 OPN 0.7090517
731 Pancreas     I                 PAR 0.5334988
732 Pancreas     I           Prolactin 0.4926108
733 Pancreas     I               sEGFR 0.7078164
734 Pancreas     I                sFas 0.6727805
735 Pancreas     I                SHBG 0.5646552
736 Pancreas     I sHER2/sEGFR2/sErbB2 0.9314516
737 Pancreas     I            sPECAM-1 0.7772953
738 Pancreas     I                TGFa 0.5189347
739 Pancreas     I    Thrombospondin-2 0.7667494
740 Pancreas     I              TIMP-1 0.7980296
741 Pancreas     I              TIMP-2 0.9592057
742 Pancreas    II                 AFP 0.7536426
743 Pancreas    II      Angiopoietin-2 0.6102365
744 Pancreas    II                 AXL 0.7417561
745 Pancreas    II              CA-125 0.8109903
746 Pancreas    II             CA 15-3 0.7486053
747 Pancreas    II              CA19-9 0.9252107
748 Pancreas    II                CD44 0.8102858
749 Pancreas    II                 CEA 0.7683171
750 Pancreas    II          CYFRA 21-1 0.6805819
751 Pancreas    II                DKK1 0.5195264
752 Pancreas    II            Endoglin 0.6113716
753 Pancreas    II                FGF2 0.7551858
754 Pancreas    II         Follistatin 0.5561013
755 Pancreas    II          Galectin-3 0.5543801
756 Pancreas    II               G-CSF 0.4894018
757 Pancreas    II               GDF15 0.8862692
758 Pancreas    II                 HE4 0.6718574
759 Pancreas    II                 HGF 0.8506959
760 Pancreas    II                IL-6 0.8624102
761 Pancreas    II                IL-8 0.8894890
762 Pancreas    II        Kallikrein-6 0.6412673
763 Pancreas    II              Leptin 0.5150899
764 Pancreas    II          Mesothelin 0.7606879
765 Pancreas    II             Midkine 0.8635684
766 Pancreas    II     Myeloperoxidase 0.6571681
767 Pancreas    II                 NSE 0.5789216
768 Pancreas    II                 OPG 0.7910188
769 Pancreas    II                 OPN 0.8803935
770 Pancreas    II                 PAR 0.7463751
771 Pancreas    II           Prolactin 0.6753517
772 Pancreas    II               sEGFR 0.5865347
773 Pancreas    II                sFas 0.6696775
774 Pancreas    II                SHBG 0.6166019
775 Pancreas    II sHER2/sEGFR2/sErbB2 0.8755269
776 Pancreas    II            sPECAM-1 0.6937128
777 Pancreas    II                TGFa 0.7068669
778 Pancreas    II    Thrombospondin-2 0.8034246
779 Pancreas    II              TIMP-1 0.8296041
780 Pancreas    II              TIMP-2 0.8169476
781 Pancreas   III                 AFP 0.8438013
782 Pancreas   III      Angiopoietin-2 0.5455665
783 Pancreas   III                 AXL 0.8159636
784 Pancreas   III              CA-125 0.9722906
785 Pancreas   III             CA 15-3 0.8141420
786 Pancreas   III              CA19-9 1.0000000
787 Pancreas   III                CD44 0.8372622
788 Pancreas   III                 CEA 0.7048440
789 Pancreas   III          CYFRA 21-1 0.8279967
790 Pancreas   III                DKK1 0.5991379
791 Pancreas   III            Endoglin 0.6880131
792 Pancreas   III                FGF2 0.8807471
793 Pancreas   III         Follistatin 0.5632184
794 Pancreas   III          Galectin-3 0.7306034
795 Pancreas   III               G-CSF 0.6089744
796 Pancreas   III               GDF15 0.9164614
797 Pancreas   III                 HE4 0.5816913
798 Pancreas   III                 HGF 0.9544335
799 Pancreas   III                IL-6 0.9113300
800 Pancreas   III                IL-8 0.9614122
801 Pancreas   III        Kallikrein-6 0.8556658
802 Pancreas   III              Leptin 0.5636289
803 Pancreas   III          Mesothelin 0.6193135
804 Pancreas   III             Midkine 0.8600083
805 Pancreas   III     Myeloperoxidase 0.8755131
806 Pancreas   III                 NSE 0.7257800
807 Pancreas   III                 OPG 0.8361043
808 Pancreas   III                 OPN 0.8813629
809 Pancreas   III                 PAR 0.8025227
810 Pancreas   III           Prolactin 0.6225369
811 Pancreas   III               sEGFR 0.6677006
812 Pancreas   III                sFas 0.8203864
813 Pancreas   III                SHBG 0.7401478
814 Pancreas   III sHER2/sEGFR2/sErbB2 0.9365178
815 Pancreas   III            sPECAM-1 0.8610422
816 Pancreas   III                TGFa 0.7477422
817 Pancreas   III    Thrombospondin-2 0.8724152
818 Pancreas   III              TIMP-1 0.9770115
819 Pancreas   III              TIMP-2 0.9708539
820  Stomach     I                 AFP 0.6348815
821  Stomach     I      Angiopoietin-2 0.6484283
822  Stomach     I                 AXL 0.6171570
823  Stomach     I              CA-125 0.7555712
824  Stomach     I             CA 15-3 0.5108492
825  Stomach     I              CA19-9 0.6489561
826  Stomach     I                CD44 0.6785123
827  Stomach     I                 CEA 0.6343537
828  Stomach     I          CYFRA 21-1 0.6644382
829  Stomach     I                DKK1 0.5305243
830  Stomach     I            Endoglin 0.5360662
831  Stomach     I                FGF2 0.5348933
832  Stomach     I         Follistatin 0.6378137
833  Stomach     I          Galectin-3 0.7314098
834  Stomach     I               G-CSF 0.6443932
835  Stomach     I               GDF15 0.7831339
836  Stomach     I                 HE4 0.5307882
837  Stomach     I                 HGF 0.7922238
838  Stomach     I                IL-6 0.8206369
839  Stomach     I                IL-8 0.8447103
840  Stomach     I        Kallikrein-6 0.5589035
841  Stomach     I              Leptin 0.6202205
842  Stomach     I          Mesothelin 0.5247548
843  Stomach     I             Midkine 0.5648411
844  Stomach     I     Myeloperoxidase 0.8121628
845  Stomach     I                 NSE 0.7130835
846  Stomach     I                 OPG 0.5632184
847  Stomach     I                 OPN 0.9482172
848  Stomach     I                 PAR 0.5855489
849  Stomach     I           Prolactin 0.7034952
850  Stomach     I               sEGFR 0.8425499
851  Stomach     I                sFas 0.5313839
852  Stomach     I                SHBG 0.6140335
853  Stomach     I sHER2/sEGFR2/sErbB2 0.8199220
854  Stomach     I            sPECAM-1 0.6318091
855  Stomach     I                TGFa 0.6220971
856  Stomach     I    Thrombospondin-2 0.4981094
857  Stomach     I              TIMP-1 0.6826179
858  Stomach     I              TIMP-2 0.5476777
859  Stomach    II                 AFP 0.6612274
860  Stomach    II      Angiopoietin-2 0.6993021
861  Stomach    II                 AXL 0.5729942
862  Stomach    II              CA-125 0.7064860
863  Stomach    II             CA 15-3 0.5616790
864  Stomach    II              CA19-9 0.6739737
865  Stomach    II                CD44 0.6553350
866  Stomach    II                 CEA 0.6481117
867  Stomach    II          CYFRA 21-1 0.8171593
868  Stomach    II                DKK1 0.6192529
869  Stomach    II            Endoglin 0.5550082
870  Stomach    II                FGF2 0.5893678
871  Stomach    II         Follistatin 0.6143268
872  Stomach    II          Galectin-3 0.7913998
873  Stomach    II               G-CSF 0.7302316
874  Stomach    II               GDF15 0.8700328
875  Stomach    II                 HE4 0.6545567
876  Stomach    II                 HGF 0.8144089
877  Stomach    II                IL-6 0.8389163
878  Stomach    II                IL-8 0.9069787
879  Stomach    II        Kallikrein-6 0.6273780
880  Stomach    II              Leptin 0.7485632
881  Stomach    II          Mesothelin 0.5477667
882  Stomach    II             Midkine 0.5900331
883  Stomach    II     Myeloperoxidase 0.8339491
884  Stomach    II                 NSE 0.6046388
885  Stomach    II                 OPG 0.6881568
886  Stomach    II                 OPN 0.9157635
887  Stomach    II                 PAR 0.5717122
888  Stomach    II           Prolactin 0.7270525
889  Stomach    II               sEGFR 0.8332093
890  Stomach    II                sFas 0.5256885
891  Stomach    II                SHBG 0.5533662
892  Stomach    II sHER2/sEGFR2/sErbB2 0.7770471
893  Stomach    II            sPECAM-1 0.5668734
894  Stomach    II                TGFa 0.7166872
895  Stomach    II    Thrombospondin-2 0.4362283
896  Stomach    II              TIMP-1 0.7981117
897  Stomach    II              TIMP-2 0.5530788
898  Stomach   III                 AFP 0.6945088
899  Stomach   III      Angiopoietin-2 0.8139670
900  Stomach   III                 AXL 0.5750985
901  Stomach   III              CA-125 0.7072225
902  Stomach   III             CA 15-3 0.5442263
903  Stomach   III              CA19-9 0.6889307
904  Stomach   III                CD44 0.7387608
905  Stomach   III                 CEA 0.6777021
906  Stomach   III          CYFRA 21-1 0.6816865
907  Stomach   III                DKK1 0.5765358
908  Stomach   III            Endoglin 0.5378876
909  Stomach   III                FGF2 0.5517966
910  Stomach   III         Follistatin 0.6157635
911  Stomach   III          Galectin-3 0.8051289
912  Stomach   III               G-CSF 0.7109911
913  Stomach   III               GDF15 0.8596784
914  Stomach   III                 HE4 0.6867575
915  Stomach   III                 HGF 0.8817010
916  Stomach   III                IL-6 0.9259635
917  Stomach   III                IL-8 0.9156766
918  Stomach   III        Kallikrein-6 0.6001314
919  Stomach   III              Leptin 0.7344248
920  Stomach   III          Mesothelin 0.5327689
921  Stomach   III             Midkine 0.5005109
922  Stomach   III     Myeloperoxidase 0.8575413
923  Stomach   III                 NSE 0.6469502
924  Stomach   III                 OPG 0.7744494
925  Stomach   III                 OPN 0.9668212
926  Stomach   III                 PAR 0.5340826
927  Stomach   III           Prolactin 0.6343089
928  Stomach   III               sEGFR 0.8208291
929  Stomach   III                sFas 0.6133314
930  Stomach   III                SHBG 0.4621124
931  Stomach   III sHER2/sEGFR2/sErbB2 0.8075463
932  Stomach   III            sPECAM-1 0.5596993
933  Stomach   III                TGFa 0.8264271
934  Stomach   III    Thrombospondin-2 0.4405926
935  Stomach   III              TIMP-1 0.7986091
936  Stomach   III              TIMP-2 0.5852651
